Expediente,Fecha resolucion,Sala,PDF link
CFP 3017/2013,12/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5270274&tipo=corrupcion-administrativa
CFP 3017/2013,12/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5270394&tipo=corrupcion-administrativa
CFP 3017/2013,12/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5270303&tipo=corrupcion-administrativa
CFP 3017/2013,10/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5257563&tipo=corrupcion-administrativa
CFP 3017/2013,10/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5257053&tipo=corrupcion-administrativa
CFP 3017/2013,05/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5237143&tipo=corrupcion-administrativa
CFP 3017/2013,05/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5237084&tipo=corrupcion-administrativa
CFP 3017/2013,04/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5235505&tipo=corrupcion-administrativa
CFP 3017/2013,02/05/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5215101&tipo=corrupcion-administrativa
CFP 3017/2013,28/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5210012&tipo=corrupcion-administrativa
CFP 3017/2013,10/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5133302&tipo=corrupcion-administrativa
CFP 3017/2013,10/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5133295&tipo=corrupcion-administrativa
CFP 3017/2013,10/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5133247&tipo=corrupcion-administrativa
CFP 3017/2013,06/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5122173&tipo=corrupcion-administrativa
CFP 3017/2013,06/04/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5122138&tipo=corrupcion-administrativa
